Id,NAME,OWNERSHIP,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS,QUALITY_FLAG
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,74229866.34,3095395.22,9077046.3,29300,0,34281,0,72522,0,5510,0,348,0.7477381318717955,55296,Valid
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,116159612.08,2855848.59,1104560.0,34959,0,13343,0,76191,0,11938,0,453,0.9346741137973892,111360,Valid
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,25822535.99,585116.15,138930.0,10516,0,13183,0,22870,0,1408,0,83,0.7286208706465973,14244,Valid
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,49853347.93,31686989.73,32185962.0,24020,0,9458,0,57105,0,9903,0,245,0.9626536614988616,94992,Valid
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,41754593.66,14927448.63,28765839.0,12488,0,4426,0,29818,0,5408,0,414,0.4949435061194812,94404,Valid
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,36242095.71,9307499.12,23198863.0,12592,0,5279,0,30956,0,4920,0,145,0.9528427106798304,46692,Valid
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,14952997.2,10570058.31,3385818.52,8290,0,3727,0,18589,0,2793,0,230,0.9331814415442294,28968,Valid
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,17486834.54,8453673.55,4011290.26,7928,0,4200,0,17706,0,2655,0,232,0.9259584026570828,25692,Valid
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,10851084.25,2945749.16,3603195.19,4711,0,1861,0,9649,0,1708,0,190,0.9042054998811316,14604,Valid
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,0.0,104530893.86,0.0,0,34022,0,10838,0,81387,0,14808,430,0.9835966686188756,145512,Valid
