MONTH,TOTAL_ENCOUNTERS,AVERAGE_DURATION_MINUTES,EMERGENCY_ENCOUNTERS,INPATIENT_ENCOUNTERS,QUALITY_REVIEW_RECORDS
1917-08,2,15.0,0,0,0
1918-01,1,15.0,0,0,0
1920-06,1,15.0,0,0,0
1921-06,1,15.0,0,0,0
1921-07,1,220.4,0,0,0
1922-02,1,15.0,0,0,0
1922-05,1,15.0,0,0,0
1922-07,1,15.0,0,0,0
1923-01,1,60.0,1,0,0
1923-07,1,15.0,0,0,0
1924-07,1,15.0,0,0,0
1925-07,2,115.15,0,0,0
1926-07,1,15.0,0,0,0
1926-08,1,258.73,0,0,0
1927-07,1,15.0,0,0,0
1927-08,3,73.86,0,0,0
1928-08,2,103.95,0,0,0
1929-06,1,108.03,1,0,0
1929-08,1,21.0,0,0,0
1930-07,1,33228.03,0,0,0
1930-08,1,15.0,0,0,0
1931-08,2,15.0,0,0,0
1931-09,1,146.38,1,0,0
1932-08,1,15.87,0,0,0
1933-01,1,69.42,0,0,0
1933-12,2,15.0,0,0,0
1934-01,1,60.0,1,0,0
1934-09,7,45.13,0,0,0
1934-11,1,1865.58,0,1,0
1935-07,1,15.0,0,0,0
1935-08,1,15.0,0,0,0
1935-09,2,23.8,0,0,0
1935-10,3,34.35,1,0,0
1936-06,1,15.0,0,0,0
1936-08,1,15.0,0,0,0
1936-10,4,37.6,0,0,0
1937-10,1,32.27,0,0,0
1938-02,2,22.8,0,0,0
1938-03,4,44.16,0,0,0
1938-05,1,15.0,0,0,0
1938-09,1,38.68,0,0,0
1938-11,1,15.0,0,0,0
1939-02,1,15.0,0,0,0
1939-08,1,46.4,0,0,0
1939-10,1,50.38,0,0,0
1939-11,3,45.79,0,0,0
1940-01,1,15.0,0,0,0
1940-07,1,51.52,0,0,0
1940-11,2,23.94,0,0,0
1941-03,1,5460.0,1,0,1
1941-04,1,16.12,0,0,0
1941-07,1,15.0,0,0,0
1941-08,1,2938.3,0,1,0
1941-09,2,55.6,0,0,0
1941-11,1,15.0,0,0,0
1942-01,1,23.43,0,0,0
1942-03,2,740.92,0,1,0
1942-04,1,15.0,0,0,0
1942-05,2,115.69,0,0,0
1942-06,2,1440.0,0,2,0
1942-07,1,60.0,1,0,0
1942-09,1,43.1,0,0,0
1942-10,1,15.0,0,0,0
1942-11,1,15.0,0,0,0
1943-02,1,60.0,1,0,0
1943-05,2,20.73,0,0,0
1943-08,1,60.0,1,0,0
1943-10,1,31.5,0,0,0
1943-11,7,62.27,0,0,0
1943-12,1,43.87,0,0,0
1944-05,2,15.0,0,0,0
1944-06,1,15.0,0,0,0
1944-11,3,21.73,0,0,0
