ENCOUNTER_MONTH,TOTAL_ENCOUNTERS,EMERGENCY_ENCOUNTERS,INPATIENT_ENCOUNTERS,QUALITY_REVIEW_RECORDS
2017-01,364,14,3,0
2017-02,323,14,3,1
2017-03,373,13,5,0
2017-04,382,11,2,0
2017-05,354,18,4,0
2017-06,343,12,2,0
2017-07,349,20,4,1
2017-08,362,11,4,0
2017-09,355,13,2,0
2017-10,337,8,4,0
2017-11,321,6,5,0
2017-12,322,18,3,0
2018-01,376,16,6,0
2018-02,324,15,4,1
2018-03,405,11,6,1
2018-04,314,17,3,0
2018-05,363,10,4,0
2018-06,364,13,3,1
2018-07,337,10,7,1
2018-08,346,7,3,0
2018-09,368,18,2,1
2018-10,322,10,4,0
2018-11,342,12,4,1
2018-12,331,15,4,0
2019-01,367,10,4,0
2019-02,316,12,3,1
2019-03,394,11,4,1
2019-04,325,15,2,0
2019-05,353,7,6,0
2019-06,346,9,5,1
2019-07,369,13,5,0
2019-08,371,16,8,1
2019-09,372,13,6,1
2019-10,361,16,6,0
2019-11,367,13,3,1
2019-12,381,14,3,0
2020-01,400,15,0,0
2020-02,385,15,6,0
2020-03,454,16,4,0
2020-04,388,18,4,0
2020-05,407,13,3,0
2020-06,423,15,5,2
2020-07,448,11,7,0
2020-08,449,15,11,0
2020-09,404,14,3,1
2020-10,371,15,9,0
2020-11,382,17,10,2
2020-12,379,11,6,0
2021-01,464,9,8,1
2021-02,497,4,8,0
2021-03,620,10,4,0
2021-04,653,14,5,1
2021-05,579,12,4,0
2021-06,503,16,4,0
2021-07,482,15,2,0
2021-08,499,14,9,0
2021-09,451,12,8,1
2021-10,420,14,2,0
2021-11,462,17,5,1
2021-12,387,13,3,0
2022-01,345,10,2,1
2022-02,359,18,4,0
2022-03,405,15,5,0
2022-04,413,18,2,2
2022-05,384,11,1,0
2022-06,415,9,3,0
2022-07,443,18,4,0
2022-08,373,18,5,0
2022-09,365,12,4,0
2022-10,364,12,3,0
2022-11,354,10,3,1
2022-12,384,13,4,0
2023-01,424,9,2,0
2023-02,378,12,3,1
2023-03,339,9,4,1
2023-04,441,16,3,1
2023-05,411,14,5,0
2023-06,414,17,9,0
2023-07,445,21,7,0
2023-08,384,8,8,0
2023-09,379,14,3,0
2023-10,393,14,3,0
2023-11,336,13,3,1
2023-12,407,13,6,0
2024-01,373,9,7,0
2024-02,389,12,2,1
2024-03,397,12,4,0
2024-04,425,6,8,0
2024-05,405,8,5,0
2024-06,401,11,4,0
2024-07,409,11,6,0
2024-08,391,12,3,0
2024-09,365,9,5,0
2024-10,354,13,3,0
2024-11,347,17,4,1
2024-12,377,7,2,0
2025-01,375,11,1,0
2025-02,370,17,2,0
2025-03,408,19,2,0
2025-04,393,13,0,0
2025-05,390,10,4,1
2025-06,358,12,6,0
2025-07,391,14,3,0
2025-08,396,16,2,0
2025-09,375,19,2,0
2025-10,385,15,5,0
2025-11,327,11,8,0
2025-12,346,11,6,0
2026-01,330,15,1,1
2026-02,348,11,4,0
2026-03,372,11,5,0
2026-04,381,14,2,1
2026-05,399,21,5,0
2026-06,338,10,6,1
2026-07,345,17,8,0
2026-08,363,10,4,0
2026-09,200,7,3,0
